NameofSatellite	Country	Owner	Users	Purpose	ClassofOrbit	Perigeekm	Apogeekm	Eccentricity	Inclinationdegrees	Radius	Periodminutes	LaunchMass	DateofLaunch	ExpectedLifetime	LaunchSite	LaunchVehicle	major	minor	focus	theta	x	y	cx	cy	r
Amazonas-2	Brazil	"Hispamar (subsidiary of Hispasat - Spain),Spain"	Commercial	Communications	GEO	35767	35805	0.000451	0.03	0.5465000	1436.080	5465.00	01/10/2009	15 yrs.	Guiana Space Center	Ariane 5	35786.00000	35785.99636	16.13948	0	35786	0	16.13948	0	35786
Amazonas-3	Brazil	"Hispamar (subsidiary of Hispasat - Spain),Spain"	Commercial	Communications	GEO	35781	35791	0.000119	0.03	0.6265000	1436.050	6265.00	07/02/2013	15 yrs.	Guiana Space Center	Ariane 5 ECA	35786.00000	35785.99975	4.25851	0	35786	0	4.25851	0	35786
Amazonas-4A	NR	"Hispamar (subsidiary of Hispasat - Spain),Spain"	Commercial	Communications	GEO	35784	35795	0.00013	0.08	0.2938000	1436.240	2938.00	22/03/2014	15 yrs.	Guiana Space Center	Ariane 5 ECA	35789.50000	35789.49970	4.65263	0	35789.5	0	4.65263	0	35789.5
"AMC-1 (Americom 1, GE-1)"	USA	"SES (Socií©tí© Europí©enne des Satellites (SES)),USA"	Commercial	Communications	GEO	35772	35800	0.000332	0.03	0.2783000	1436.100	2783.00	08/09/1996	15 yrs.	Cape Canaveral	Atlas 2A	35786.00000	35785.99803	11.88096	0	35786	0	11.88096	0	35786
"AMC-10 (Americom-10, GE 10)"	USA	"SES World Skies (SES [Socií©tí© Europí©enne des Satellites (SES)]),USA"	Commercial	Communications	GEO	35775	35797	0.000261	0.01	0.2315000	1436.090	2315.00	05/02/2004	15 yrs.	Cape Canaveral	Atlas 2AS	35786.00000	35785.99878	9.34015	0	35786	0	9.34015	0	35786
"AMC-11 (Americom-11, GE 11)"	USA	"SES World Skies (SES [Socií©tí© Europí©enne des Satellites (SES)]),USA"	Commercial	Communications	GEO	35774	35797	0.000273	0.04	0.2340000	1436.070	2340.00	19/05/2004	15 yrs.	Cape Canaveral	Atlas 2AS	35785.50000	35785.49867	9.76945	0	35785.5	0	9.76945	0	35785.5
AMC-15 (Americom-15)	USA	"SES World Skies (SES [Socií©tí© Europí©enne des Satellites (SES)]),USA"	Commercial	Communications	GEO	35777	35795	0.000213	0.04	0.4200000	1436.080	4200.00	14/10/2004	15 yrs.	Baikonur Cosmodrome	Proton M	35786.00000	35785.99919	7.62243	0	35786	0	7.62243	0	35786
AMC-16 (Americom-16)	USA	"SES World Skies (SES [Socií©tí© Europí©enne des Satellites (SES)]),USA"	Commercial	Communications	GEO	35780	35793	0.000154	0.02	0.4312000	1436.100	4312.00	17/12/2004	15 yrs.	Cape Canaveral	Atlas 5	35786.50000	35786.49958	5.51114	0	35786.5	0	5.51114	0	35786.5
AMC-18 (Americom 18)	USA	"SES World Skies (SES [Socií©tí© Europí©enne des Satellites (SES)]),USA"	Commercial	Communications	GEO	35773	35800	0.00032	0.06	0.2081000	1436.100	2081.00	08/12/2006	15 yrs.	Guiana Space Center	Ariane 5	35786.50000	35786.49817	11.45168	0	35786.5	0	11.45168	0	35786.5
"AMC-2 (Americom 2, GE-2)"	USA	"SES World Skies (SES [Socií©tí© Europí©enne des Satellites (SES)]),USA"	Commercial	Communications	GEO	35774	35798	0.000285	0.05	0.2648000	1436.100	2648.00	30/01/1997	15 yrs.	Guiana Space Center	Ariane 44L	35786.00000	35785.99855	10.19901	0	35786	0	10.19901	0	35786
AMC-21 (Americom 21)	United Kingdom	"SES World Skies (SES [Socií©tí© Europí©enne des Satellites (SES)]),USA"	Commercial	Communications	GEO	35778	35793	0.000178	3	0.2500000	1436.100	2500.00	14/08/2008	15 yrs.	Guiana Space Center	Ariane 5 ECA	35785.50000	35785.49943	6.3698	0	35785.5	0	6.3698	0	35785.5
"AMC-3 (Americom 3, GE-3)"	USA	"SES World Skies/Global Eagle Entertainment,USA"	Commercial	Communications	GEO	35777	35795	0.000213	0.02	0.2845000	1436.080	2845.00	04/09/1997	15 yrs.	Cape Canaveral	Atlas 2AS	35786.00000	35785.99919	7.62243	0	35786	0	7.62243	0	35786
"AMC-4 (Americom-4, GE-4)"	USA	"SES World Skies/Gogo,USA"	Commercial	Communications	GEO	35781	35791	0.000119	0.01	0.3909000	1436.100	3909.00	13/11/1999	15 yrs.	Guiana Space Center	Ariane 44LP	35786.00000	35785.99975	4.25851	0	35786	0	4.25851	0	35786
"AMC-6 (Americom-6, GE-6)"	USA	"SES World Skies (SES [Socií©tí© Europí©enne des Satellites (SES)]),USA"	Commercial	Communications	GEO	35778	35795	0.000202	0.05	0.3901000	1436.120	3901.00	22/10/2000	15 yrs.	Baikonur Cosmodrome	Proton K	35786.50000	35786.49927	7.22889	0	35786.5	0	7.22889	0	35786.5
"AMC-7 (Americom-7, GE-7)"	USA	"SES World Skies (SES [Socií©tí© Europí©enne des Satellites (SES)]),USA"	Commercial	Communications	GEO	35773	35798	0.000297	0.01	0.1935000	1436.080	1935.00	14/09/2000	15 yrs.	Guiana Space Center	Ariane 5G	35785.50000	35785.49842	10.62829	0	35785.5	0	10.62829	0	35785.5
"AMC-8 (Americom-8, GE-8, Aurora 3)"	USA	"SES World Skies (SES [Socií©tí© Europí©enne des Satellites (SES)]),USA"	Commercial	Communications	GEO	35773	35798	0.000297	0.03	0.2015000	1436.070	2015.00	19/12/2000	15 yrs.	Guiana Space Center	Ariane 5G	35785.50000	35785.49842	10.62829	0	35785.5	0	10.62829	0	35785.5
