NameofSatellite,Country/Org of UN Registry,Owner,Users,Purpose,ClassOfOrbit,Perigee (km),Apogee (km),Eccentricity,Inclination,Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime,Launch Site,Launch Vehicle
Superbird 7 (Superbird C2),Japan,"Sky Perfect JSAT Corporation,Japan",Commercial,Communications,GEO,"35,778","35,794",1.90E-04,0.12,1436.1,"5,000",14/08/2008,15 yrs.,Guiana Space Center,Ariane 5 ECA
Superbird-B2 (Superbird 4),Japan,"Sky Perfect JSAT Corporation,Japan",Commercial,Communications,GEO,"35,779","35,793",1.66E-04,0.01,1436.09,"4,051",18/02/2000,10 yrs.,Guiana Space Center,Ariane 44L
Superview 1-01 (GaoJing 1-01),NR (1/17),"Siwei Star Co. Ltd.,China",Commercial,Earth Observation,LEO,530,530,0.00E+00,97.6,95.1,560,28/12/2016,8 yrs.,Taiyuan Launch Center,Long March 2D
Superview 1-02 (GaoJing 1-02),NR (1/17),"Siwei Star Co. Ltd.,China",Commercial,Earth Observation,LEO,530,530,0.00E+00,97.6,95.1,560,28/12/2016,8 yrs.,Taiyuan Launch Center,Long March 2D
SWARM-A,ESA,"European Space Agency (ESA),ESA",Government,Earth Observation,LEO,473,476,2.19E-04,87.3,93.9,468,22/11/2013,4 yrs.,Plesetsk Cosmodrome,Rokot
SWARM-B,ESA,"European Space Agency (ESA),ESA",Government,Earth Observation,LEO,473,476,2.19E-04,87.3,93.9,468,22/11/2013,4 yrs.,Plesetsk Cosmodrome,Rokot
SWARM-C,ESA,"European Space Agency (ESA),ESA",Government,Earth Observation,LEO,486,496,7.29E-04,87.5,94,468,22/11/2013,4 yrs.,Plesetsk Cosmodrome,Rokot
Swayam,NR (12/16),"College of Engineering, Pune,India",Civil,Technology Development,LEO,500,518,1.31E-03,97.5,94.7,1,22/06/2016,null,Satish Dhawan Space Centre,PSLV XL
Swift ,USA,"Goddard Space Flight Center/Penn State University,USA/United Kingdom/Italy",Government/Civil,Space Science,LEO,571,590,1.37E-03,20.6,96.3,"1,463",20/11/2004,7 yrs.,Cape Canaveral,Delta 7320
SwissCube,NR,"Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland",Civil,Technology Development,LEO,710,720,7.06E-04,98.3,99.1,1,23/09/2009,.25-1 yr.,Satish Dhawan Space Centre,PSLV
Syracuse 3A (Systeme de Radio Communications Utilisant un Satellite),France,"Defense Ministry,France",Military,Communications,GEO,"35,778","35,792",1.66E-04,0,1436.06,"3,725",13/10/2005,12 yrs.,Guiana Space Center,Ariane 5
Syracuse 3B (Systeme de Radio Communications Utilisant un Satellite),France,"Defense Ministry,France",Military,Communications,GEO,"35,772","35,801",3.44E-04,0.03,1436.09,"3,750",11/8/2006,12 yrs.,Guiana Space Center,Ariane 5
TacSat 4,USA,"Naval Research Laboratory,USA",Military,Technology Development,Elliptical,658,"11,836",4.43E-01,63.64,235.16,450,27/09/2011,null,Kodiak Launch Complex,Minotaur 4
TacSat 6,NR,"Operational Responsive Space (ORS) Office,USA",Military,Technology Development,LEO,443,886,3.15E-02,120.3,98,null,5/12/2013,null,Vandenberg AFB,Atlas 5
TanDEM-X (TerraSAR-X add-on for Digital Elevation Measurement),Germany,"German Aerospace Center (DLR)/Astrium,Germany",Government,Earth Observation,LEO,507,510,2.18E-04,97.4,94.8,"1,350",21/06/2010,5 yrs.,Baikonur Cosmodrome,Dnepr
"Tango (part of Cluster quartet, Cluster 2 FM8)",ESA,"European Space Agency (and 250 international scientific investigators),ESA",Government,Space Science,Elliptical,"17,313","120,961",6.86E-01,90.7,"3,442.00","1,200",9/8/2000,4 yrs.,Baikonur Cosmodrome,Soyuz
"TanSat (Tan Weixing, Carbon Satellite)",NR (1/17),"China Meteorological Administration,China",Government,Earth Observation,LEO,690,718,1.98E-03,98.1,98.86,620,21/12/2016,3 yrs.,Jiuquan Satellite Launch Center,Long March 2D
Tanyusha YuZGU-1 (Radioskaf RS-6),NR (10/17),"Tomsk Polytechnic University/Southwestern State University,USA/Russia",Civil,Communications,LEO,397,407,7.38E-04,51.6,92.6,5,17/08/2017,null,International Space Station,Manual Deployment
Tanyusha YuZGU-2 (Radioskaf RS-7),NR (10/17),"Tomsk Polytechnic University/Southwestern State University,USA/Russia",Civil,Communications,LEO,398,409,8.12E-04,51.6,92.6,5,17/08/2017,null,International Space Station,Manual Deployment
"TDRS-10 (Tracking and Data Relay Satellite, TDRS-J)",USA,"National Aeronautics and Space Administration (NASA),USA",Government,Communications,GEO,"35,768","35,802",4.03E-04,1.64,1436.04,"3,180",4/12/2002,11 yrs.,Cape Canaveral,Atlas 2A
"TDRS-11 (Tracking and Data Relay Satellite, TDRS K)",USA,"National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center,USA",Government,Communications,GEO,"35,732","35,844",1.33E-03,7,1436.18,"3,454",31/01/2013,15 yrs.,Cape Canaveral,Atlas 5
"TDRS-12 (Tracking and Data Relay Satellite, TDRS L)",USA,"National Aeronautics and Space Administration (NASA),USA",Government,Communications,GEO,"35,780","35,785",5.93E-05,6.99,1435.88,"3,454",23/01/2014,15 yrs.,Cape Canaveral,Atlas 5
"TDRS-13 (Tracking and Data Relay Satellite, TDRS M)",NR (10/17),"National Aeronautics and Space Administration (NASA),USA",Government,Communications,GEO,"35,755","35,813",6.88E-04,0,1436,"3,452",18/08/2017,15 yrs.,Cape Canaveral,Atlas 5
"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ",USA,"National Aeronautics and Space Administration (NASA),USA",Government,Communications,GEO,"35,693","35,878",2.19E-03,11.53,1436.06,"3,180",29/09/1988,10 yrs.,Cape Canaveral,Space Shuttle (STS 26)
"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)",USA,"SES Americom (SES [Société Européenne des Satellites (SES)]),USA",Government/Commercial,Communications,GEO,"35,773","35,796",2.73E-04,9.4,1436.99,"3,180",2/8/1991,10 yrs.,Cape Canaveral,Space Shuttle (STS 43)
"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)",USA,"National Aeronautics and Space Administration (NASA)/SES Americom (SES [Société Européenne des Satellites (SES)]),USA",Government/Commercial,Communications,GEO,"35,773","35,787",1.66E-04,8.74,1435.7,"3,180",13/01/1993,10 yrs.,Cape Canaveral,Space Shuttle (STS 54)
"TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)",USA,"National Aeronautics and Space Administration (NASA),USA",Government,Communications,GEO,"35,767","35,803",4.27E-04,10.6,1436.04,"3,180",13/07/1995,10 yrs.,Cape Canaveral,Space Shuttle (STS 70)
"TDRS-8 (Tracking and Data Relay Satellite, TDRS-H)",USA,"National Aeronautics and Space Administration (NASA),USA",Government,Communications,GEO,"35,768","35,808",4.74E-04,0.9,1436.2,"3,180",30/06/2000,11 yrs.,Cape Canaveral,Atlas 2A
"TDRS-9 (Tracking and Data Relay Satellite, TDRS-I)",USA,"National Aeronautics and Space Administration (NASA),USA",Government,Communications,GEO,"35,768","35,809",4.86E-04,0.02,1436.11,"3,180",8/3/2002,11 yrs.,Cape Canaveral,Atlas 2A
TechDemoSat-1,United Kingdom,"Technology Strategy Board,United Kingdom",Government,Technology Development,LEO,625,631,4.29E-04,98.4,97.27,150,8/7/2014,null,Baikonur Cosmodrome,Soyuz-2.1b
Technosat,NR (10/17),"Technical University Berlin,Germany",Civil,Technology Demonstration,LEO,586,605,1.36E-03,97.6,96.6,18,14/07/2017,2 yrs.,Baikonur Cosmodrome,Soyuz 2.1a
"TecSAR (Ofeq 8, Polaris)",NR,"Defense Ministry,Israel",Military,Earth Observation,LEO,405,580,1.28E-02,41.03,94.5,300,21/01/2008,null,Satish Dhawan Space Centre,PSLV C10
TeLEOS 1,NR,"AgilSpace,Singapore",Commercial,Earth Observation,LEO,535,550,1.08E-03,15,95.5,400,16/12/2015,5 yrs.,Satish Dhawan Space Centre,PSLV C29
Telkom 2,Indonesia,"PT Telkomunikasi,Indonesia",Commercial,Communications,GEO,"35,781","35,793",1.42E-04,0.04,1436.1,"1,930",16/11/2005,15 yrs.,Guiana Space Center,Ariane 5 ECA
Telkom 3S,NR (9/17),"PT Telkomunikasi,Indonesia",Commercial,Communications,GEO,"35,780","35,795",1.78E-04,0,1436.1,"3,550",14/02/2017,18 yrs.,Guiana Space Center,Ariane 5 ECA
Telstar 11N,NR,"Telesat Canada Ltd. (BCE, Inc.),Canada",Commercial,Communications,GEO,"35,774","35,801",3.20E-04,0.04,1436.13,"4,010",26/02/2009,15 yrs.,Sea Launch Odyssey,Zenit 3SLB
Telstar 12 (Orion 2),USA,"Eutelsat -- leased from Loral Skynet Satellite Services (Loral Global Alliance) ,Multinational",Commercial,Communications,GEO,"35,773","35,799",3.08E-04,0.05,1436.09,"3,878",19/10/1999,13 yrs.,Guiana Space Center,Ariane 44LP
Telstar 12V (Telstar 12 Vantage),NR,"Telesat Canada Ltd. (BCE, Inc.),Canada",Commercial,Communications,GEO,"35,645","35,727",9.75E-04,0.1,1436.1,"4,900",24/11/2015,15 yrs.,Tanegashima Space Center,H-2A
Telstar 14R (Estrela do Sul 2),Brazil,"Telesat Canada Ltd. (BCE, Inc.),Canada",Commercial,Communications,GEO,"35,783","35,791",9.49E-05,0.02,1436.1,"4,970",20/05/2011,15 yrs.,Baikonur Cosmodrome,Proton
Telstar 18 (Apstar 5),NR,"Loral Skynet Satellite Services (Loral Global Alliance)/APT Satellite Holdings Ltd.,Multinational",Commercial,Communications,GEO,"35,778","35,795",2.02E-04,0.01,1436.1,"4,640",29/06/2004,13 yrs.,Sea Launch Odyssey,Zenit 3SL
TerraSAR-X 1 (Terra Synthetic Aperture Radar X-Band),Germany,"German Aerospace Center (DLR)/Infoterra,Germany",Government/Commercial,Earth Observation,LEO,507,509,1.45E-04,97.5,94.8,"1,230",15/06/2007,5 yrs.,Baikonur Cosmodrome,Dnepr
TerraStar 1,USA,"TerraStar Corporation,USA",Commercial,Communications,GEO,"35,783","35,791",9.49E-05,5.94,1436.11,"6,910",1/7/2009,15 yrs.,Guiana Space Center,Ariane 5 ECA
"TET-1 (Technologieerprobungsträger 1, Technology Experiment Carrier)",Germany,"German Aerospace Center,Germany",Commercial,Technology Development,LEO,501,505,2.91E-04,97.5,94.7,120,22/07/2012,1 yr.,Baikonur Cosmodrome,Soyuz-Fregat
"Thaicom-4 (Ipstar 1, Measat 5)",NR,"Thaicom Public Company Ltd. ,Thailand",Commercial,Communications,GEO,"35,775","35,798",2.73E-04,0,1436.1,"6,505",11/8/2005,12 yrs.,Guiana Space Center,Ariane 5G
Thaicom-5,NR,"Thaicom Public Company Ltd. ,Thailand",Commercial,Communications,GEO,"35,777","35,796",2.25E-04,0.04,1436.1,"2,800",27/05/2006,12 yrs.,Guiana Space Center,Ariane 5 ECA
Thaicom-6,NR,"Thaicom Public Company Ltd. ,Thailand",Commercial,Communications,GEO,"35,786","35,796",1.19E-04,0.05,1436.3,"3,325",6/1/2014,15 yrs.,Cape Canaveral,Falcon 9
Thaicom-8,NR (12/16),"Thaicom Public Company Ltd. ,Thailand",Commercial,Communications,GEO,"35,843","35,890",5.56E-04,0.03,1440.09,"3,025",27/05/2016,15 yrs.,Cape Canaveral,Falcon 9
THEMIS A (Time History of Events and Macroscale Interactions during Substorms) ,USA,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada),Multinational",Government/Civil,Space Science,Elliptical,461,"87,304",8.64E-01,15.7,1868.98,126,17/02/2007,2 yrs.,Cape Canaveral,Delta 2
THEMIS D (Time History of Events and Macroscale Interactions during Substorms) ,USA,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada),Multinational",Government/Civil,Space Science,Elliptical,467,"87,260",8.64E-01,15.7,1867.91,126,17/02/2007,2 yrs.,Cape Canaveral,Delta 2
THEMIS E (Time History of Events and Macroscale Interactions during Substorms) ,USA,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada),Multinational",Government/Civil,Space Science,Elliptical,474,"87,526",8.64E-01,15.7,1875.53,126,17/02/2007,2 yrs.,Cape Canaveral,Delta 2
THEOS (Thailand Earth Observation System),Thailand,"Geo-Informatics and Space Technology Development Agency (GISTDA),Thailand",Government,Earth Observation,LEO,824,826,1.39E-04,98.7,101.4,750,1/10/2008,5 yrs.,Dombarovsky Air Base,Dnepr
Thor-3 ,Norway,"Telenor Satellite Broadcasting,Norway",Commercial,Communications,GEO,"35,777","35,795",2.13E-04,0.07,1436.07,"1,400",10/6/1998,12 yrs.,Cape Canaveral,Delta 2
Thor-5 (Thor 2R),Norway,"Telenor Satellite Broadcasting,Norway",Commercial,Communications,GEO,"35,773","35,798",2.97E-04,0.01,1436.1,"2,024",11/2/2008,15 yrs.,Baikonur Cosmodrome,Proton M
Thor-6,Norway,"Telenor Satellite Broadcasting,Norway",Commercial,Communications,GEO,"35,779","35,794",1.78E-04,0.02,1436.1,"3,050",29/10/2009,15 yrs.,Guiana Space Center,Ariane 5
Thor-7,Norway,"Telenor Satellite Broadcasting,Norway",Commercial,Communications,GEO,"35,727","35,741",1.66E-04,0,1433.4,"4,600",26/04/2015,15 yrs.,Guiana Space Center,Ariane 5
Thuraya 2 ,United Arab Emirates,"Thuraya Satellite Communications,United Arab Emirates",Commercial,Communications,GEO,"35,764","35,807",5.10E-04,2.99,1436.07,"5,250",10/6/2003,12 yrs.,Sea Launch Odyssey,Zenit 3SL
Thuraya 3,United Arab Emirates,"Thuraya Satellite Communications,United Arab Emirates",Commercial,Communications,GEO,"35,766","35,807",4.86E-04,5.84,1436.1,"5,180",15/01/2008,12 yrs.,Sea Launch Odyssey,Zenit 3SL
Tiangong-1 (TG-1),China,"Beijing Aerospace Flight Control Center,China",Government,Technology Development,LEO,360,361,7.43E-05,42.8,91.8,"8,506",29/09/2011,2 yrs.,Jiuquan Satellite Launch Center,Long March 2F
Tianhui 1-01,China,"China Aerospace Science and Technology Corporation (CASC),China",Government,Earth Observation,LEO,488,504,1.17E-03,97.4,94.5,"2,500",24/08/2010,null,Jiuquan Satellite Launch Center,Long March 2D
Tianhui 1-02,China,"China Aerospace Science and Technology Corporation (CASC),China",Government,Earth Observation,LEO,485,505,1.46E-03,97.4,94.5,"2,500",6/5/2012,null,Jiuquan Satellite Launch Center,Long March 2D
Tianhui 1-03,NR,"China Aerospace Science and Technology Corporation (CASC),China",Government,Earth Observation,LEO,489,500,8.01E-04,97.36,94.5,"2,500",26/10/2015,null,Jiuquan Satellite Launch Center,Long March 2D
Tiankun-1,NR (9/17),"Chinese Academy of Launch Vehicle Technology (CASIC),China",Government,Earth Observation/Technology Development,LEO,384,406,1.63E-03,96.9,92.4,null,2/3/2017,null,Jiuquan Satellite Launch Center,KT-2
"TianLian 1 (TL-1-01, CTDRS)",China,"China Aerospace Science and Technology Corp. (CASC),China",Government,Communications,GEO,"35,769","35,813",5.22E-04,0.06,1436.08,"3,750",25/04/2008,null,Xichang Satellite Launch Center,Long March 3C
"TianLian 2 (TL-1-02, CTDRS)",China,"China Aerospace Science and Technology Corp. (CASC),China",Government,Communications,GEO,"37,778","37,794",1.81E-04,1,1436.1,"2,250",11/7/2011,null,Xichang Satellite Launch Center,Long March 3C
"TianLian 3 (TL-1-03, CTDRS)",China,"China Aerospace Science and Technology Corp. (CASC),China",Government,Communications,GEO,"35,768","35,802",4.03E-04,2.04,1436,"2,200",25/07/2012,null,Xichang Satellite Launch Center,Long March 3C
"TianLian 4 (TL-1-04, CTDRS)",NR (12/16),"China Aerospace Science and Technology Corp. (CASC),China",Government,Communications,GEO,"35,778","35,793",1.78E-04,3.06,1436.1,"2,200",22/11/2016,null,Xichang Satellite Launch Center,Long March 3C
Tiantong-1-01,NR (11/16),"China Telecom,China",Government,Communications,GEO,"35,765","35,805",4.74E-04,4.89,1436.05,null,5/8/2016,null,Xichang Satellite Launch Center,Long March 3B
Tiantuo-2,NR,"National University of Defense Technology,China",Government,Earth Observation/Communications,LEO,477,493,1.17E-03,97.42,94.31,67,8/9/2014,null,Taiyuan Launch Center,Long March 4B
Tiantuo-3 (Luliang 1),NR,"National University of Defense Technology,China",Government,Technology Development,LEO,392,522,9.52E-03,97.42,93.73,20,19/09/2015,null,Taiyuan Launch Center,Long March 6
"Tianwang 1A (TW-1A, SECM-1, Shangkeda-2)",NR,"Shanghai Engineering Center for Microsatellites,China",Civil,Technology Development,LEO,466,484,1.31E-03,97.31,94.1,3,24/09/2015,null,Jiuquan Satellite Launch Center,Long March 11
Tianwang 1C (TW-1C; NJFA-1),NR,"Nanjing University of Aeronautics and Astronautics,China",Civil,Technology Development,LEO,466,486,1.46E-03,97.31,94.12,5,24/09/2015,null,Jiuquan Satellite Launch Center,Long March 11
TIGRISat,Iraq,"La Sapienza University of Rome,Iraq",Civil,Earth Observation,LEO,611,698,6.19E-03,97.98,97.82,1,19/06/2014,null,Dombarovsky Air Base,Dnepr
TIMED (Thermosphere • Ionosphere • Mesosphere • Energetics and Dynamics),USA,"National Aeronautics and Space Administration (NASA)/Applied Physics Laboratory, Johns Hopkins,USA",Government/Civil,Space Science,LEO,612,613,7.16E-05,74.1,97,587,7/12/2001,2 yrs.,Vandenberg AFB,Delta 2
TJS-1 (Tongxin Jishu Shiyan 1),NR,"Chinese Academy of Space Technology,China",Government,Technology Development,GEO,"35,776","35,795",2.25E-04,0,1436.03,null,12/9/2015,null,Xichang Satellite Launch Center,Long March 3B
TJS-2 (Tongxin Jishu Shiyan 2),NR (8/17),"Chinese Academy of Space Technology,China",Government,Technology Development,GEO,"35,783","35,793",1.19E-04,0.5,1436.19,null,5/1/2017,null,Xichang Satellite Launch Center,Long March 3B
TKSat-1 (Túpac Katari Satellite 1),Bolivia,"Bolivia Aerospace Bureau,Bolivia",Government,Communications,GEO,"35,773","35,799",3.08E-04,0.27,1436.07,"5,000",20/12/2013,null,Xichang Satellite Launch Center,Long March 3B
TNS-0-2 Nanosputnik,NR (10/17),"Russian Space Systems,Russia",Government,Technology Development,LEO,398,407,6.64E-04,51.6,92.6,5,17/08/2017,null,International Space Station,Manual Deployment
Toki (Bird JJ),NR (10/17),"Kyushu Institute of Technology (KIT),Japan",Civil,Communications/Technology Development,LEO,402,402,0.00E+00,51.6,92.6,2,7/7/2017,null,International Space Station,Nanorack Deployer
Tomsk-TPU-120,NR (10/17),"Tomsk Polytechnic University,Russia",Civil,Communications/Technology Development,LEO,397,408,8.12E-04,51.6,92.6,5,17/08/2017,null,International Space Station,Manual Deployment
"Trumpet 3 (NROL-4, National Reconnaissance Office Launch-4, USA 136)",USA,"National Reconnaissance Office (NRO)/USAF,USA",Military,Earth Observation,Elliptical,"1,210","38,740",7.12E-01,64.7,709.61,"8,000",8/11/1997,null,Cape Canaveral,Titan IVA
Tselina-2 (Cosmos 2428),Russia,"Ministry of Defense,Russia",Military,Earth Observation,LEO,844,858,9.69E-04,71,102,"3,200",29/06/2007,null,Baikonur Cosmodrome,Zenit 2M
TSUBAME,NR,"Tokyo Institute of Technology, Tokyo University of Science and JAXA,Japan",Civil,Earth Observation,LEO,505,569,4.63E-03,97.47,95.38,49,6/11/2014,null,Dombarovsky Air Base,Dnepr
"TUGSat-1  (Technische Universität Graz Satellit, CanX-3b, BRITE-Austria)",Austria,"Technical University of Graz,Austria",Civil,Technology Development,LEO,770,784,9.79E-04,98.6,100.3,14,25/02/2013,null,Satish Dhawan Space Centre,PSLV
Turkmen Alem 52E/MonacoSAT,NR,"Turkmenistan Ministry of Communications/SSI-Monaco,Turkmenistan/Monaco",Government/Commercial,Communications,GEO,"35,655","35,784",1.53E-03,0,1432.69,"4,700",27/04/2015,15 yrs.,Cape Canaveral,Falcon 9
Turksat 3A,Turkey,"Turksat,Turkey",Commercial,Communications,GEO,"35,778","35,793",1.78E-04,0.01,1436.06,"3,100",12/6/2008,null,Guiana Space Center,Ariane 5 ECA
Turksat 4A,NR,"Turksat,Turkey",Commercial,Communications,GEO,"35,776","35,797",2.49E-04,0.01,1436.08,"4,869",14/02/2014,15 yrs.,Baikonur Cosmodrome,Proton
Turksat 4B,NR,"Turksat,Turkey",Commercial,Communications,GEO,"35,787","35,805",2.13E-04,0.03,1436.57,"5,000",16/10/2015,15 yrs.,Baikonur Cosmodrome,Proton
Tyvak-53b,NR (10/17),"Tyvak Nanosatellite Systems, Inc.,USA",Commercial,Technology Demonstration,LEO,497,516,1.38E-03,97.45,94.7,5,23/06/2017,null,Satish Dhawan Space Centre,PSLV
"UCLSat (University College London Satellite, QB50 GB03) ",NR (10/17),"University College London,United Kingdom",Civil,Technology Development/Educational,LEO,496,513,1.24E-03,97.45,94.7,3,22/06/2017,.5 - 2 yrs.,Satish Dhawan Space Centre,PSLV
"UFO-10 (USA 146, UHF F/O F10) ""UHF Follow-On""",USA,"US Navy,USA",Military,Communications,GEO,"35,738","35,834",1.14E-03,1.97,1436.1,"3,200",24/11/1999,4 yrs.,Cape Canaveral,Atlas 2
"UFO-11  (USA 174) ""UHF Follow-On""",USA,"US Navy,USA",Military,Communications,GEO,"35,786","35,787",1.19E-05,2.16,1436.1,"3,200",18/12/2003,4 yrs.,Cape Canaveral,Atlas 3
"UFO-2 (USA 95) ""UHF Follow-On""",USA,"US Navy,USA",Military,Communications,GEO,"35,766","35,807",4.86E-04,8.27,1436.12,"3,200",3/9/1993,null,Cape Canaveral,Atlas 2
"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""",USA,"US Navy,USA",Military,Communications,GEO,"35,763","35,775",1.42E-04,3.34,1435.22,"3,200",29/01/1995,4 yrs.,Cape Canaveral,Atlas 2
"UFO-6 (USA 114, UFO F6 EHF) ""UHF Follow-On""",USA,"US Navy,USA",Military,Communications,GEO,"35,744","35,829",1.01E-03,4.11,1436.12,"3,200",22/10/1995,4 yrs.,Cape Canaveral,Atlas 2
"UFO-7 (USA 127, F7 EHF) ""UHF Follow-On""",USA,"US Navy,USA",Military,Communications,GEO,"35,738","35,835",1.15E-03,3.79,1436.11,"3,200",25/07/1996,4 yrs.,Cape Canaveral,Atlas 2
"UFO-8 (USA 138, UHF F/O F8) ""UHF Follow-On""",USA,"US Navy,USA",Military,Communications,GEO,"35,772","35,794",2.61E-04,5.24,1435.94,"3,206",16/03/1998,4 yrs.,Cape Canaveral,Atlas 2
"UK-DMC-2 (BNSCSat-2, British National Science Center Satellite 2)",United Kingdom,"UK/DMC International Imaging (DMCII),United Kingdom",Government,Earth Observation,LEO,660,662,1.42E-04,98,98,97,29/07/2009,5 yrs.,Baikonur Cosmodrome,Dnepr
UKube-1 (UK Cubesat 1),United Kingdom,"UK Space Agency,United Kingdom",Government,Technology Development,LEO,626,631,3.57E-04,98.4,97.27,3,8/7/2014,null,Baikonur Cosmodrome,Soyuz-2.1b
UNIFORM 1  (UNiversity International FORmation Mission 1),Japan,"Wakayama University (UNIFORM consortium),Japan",Civil,Earth Observation,LEO,622,629,5.00E-04,97.87,97.2,50,24/05/2014,null,Tanegashima Space Center,H-2A
UNSW-ECO (QB50 - AU02),NR (10/17),"University of New South Wales,Australia",Civil,Earth Science,LEO,397,408,8.12E-04,51.6,92.6,3,25/05/2017,null,International Space Station,Nanorack Deployer
"Ursa Maior ((University of Rome la SApienza MicroAttitude In ORbit testing, QB50 IT02)",NR (10/17),"University of Rome,Italy",Civil,Earth Science,LEO,496,512,1.16E-03,97.45,94.7,5,23/06/2017,null,Satish Dhawan Space Centre,PSLV
UWE-3 (University of Würzburg Experimental Satellite 3),Germany,"University of Würzburg,Germany",Civil,Communications,LEO,593,700,7.62E-03,97.8,97.6,1,21/11/2013,null,Dombarovsky Air Base,Dnepr
"Van Allen Probe A (RBSP-A, Radiation Belt Storm Probes)",USA,"National Aeronautics and Space Administration (NASA)/Johns Hopkins University Applied Physics Laboratory,USA",Government,Earth Observation,Elliptical,591,"30,534",6.83E-01,10.03,539.06,648,30/08/2012,null,Cape Canaveral,Atlas 5
"Van Allen Probe B (RBSP-B, Radiation Belt Storm Probes)",USA,"National Aeronautics and Space Administration (NASA)/Johns Hopkins University Applied Physics Laboratory,USA",Government,Earth Observation,Elliptical,595,"30,657",6.83E-01,10.04,541.4,666,30/08/2012,null,Cape Canaveral,Atlas 5
Velox 1,NR,"Nanyang Technological University,Singapore",Civil,Technology Development,LEO,642,655,9.26E-04,98.25,97.7,4,30/06/2014,null,Satish Dhawan Space Centre,PSLV-CA
Velox 2,NR,"Nanyang Technological University,Singapore",Civil,Technology Development,LEO,537,550,9.40E-04,14.98,95.48,13,16/12/2015,null,Satish Dhawan Space Centre,PSLV-C29
Velox C1,NR,"Nanyang Technological University,Singapore",Civil,Technology Development,LEO,533,550,1.23E-03,14.98,95.48,123,16/12/2015,null,Satish Dhawan Space Centre,PSLV-C29
Venµs,NR (10/17),"Centre National d'Etudes Spatiales (CNES)/Israel Space Agency,France/Israel",Government,Earth Observation,LEO,719,724,3.53E-04,98.3,99.2,264,1/8/2017,4.5 yrs.,Guiana Space Center,Vega
VeneSat 1 (Simon Bolivar),Venezuela/China,"Ministry of Science and Technology,Venezuela",Government,Communications,GEO,"35,777","35,796",2.25E-04,0.21,1436.1,"5,100",29/10/2008,15 yrs.,Xichang Satellite Launch Center,CZ-3B
Venta-1,NR (10/17),"Ventspils University College,Latvia",Civil,Technology Development,LEO,496,508,8.73E-04,97.45,94.7,5,23/06/2017,null,Satish Dhawan Space Centre,PSLV
ViaSat-1,USA,"ViaSat, Inc.,USA",Commercial,Communications,GEO,"35,775","35,796",2.49E-04,0.04,1436.09,"6,740",19/10/2011,15 yrs.,Baikonur Cosmodrome,Proton M
ViaSat-2,NR (10/17),"ViaSat, Inc.,USA",Commercial,Communications,GEO,"25,371","46,183",2.47E-01,44.6,1435.6,"6,418",1/6/2017,14 yrs.,Guiana Space Center,Ariane 5
Vinasat 1,NR,"Vietnamese Posts and Telecommunications Group (VNPT),Vietnam",Government,Communications,GEO,"35,782","35,791",1.07E-04,0.02,1436.1,"2,600",18/04/2008,15 yrs.,Guiana Space Center,Ariane 5 ECA
Vinasat 2,NR,"Vietnamese Posts and Telecommunications Group (VNPT),Vietnam",Government,Communications,GEO,"35,742","35,776",4.04E-04,0.08,1434.69,"2,970",15/05/2012,15 yrs.,Guiana Space Center,Ariane 5 ECA
VNREDSat 1A  (Vietnam Natural Resources Environment and Disaster monitoring small Satellite),NR,"Space Technology Institute-Vietnam Academy of Science and Technology (STI-VAST),Vietnam",Government,Earth Observation,LEO,682,685,2.13E-04,98.13,98.43,115,7/5/2013,5 yrs.,Guiana Space Center,Vega
"VRSS-1 (Venezuelan Remote Sensing Satellite, Francisco Miranda)",Venezuela,"Bolivarian Agency for Space Activities,Venezuela",Government,Earth Observation,LEO,622,654,2.28E-03,98.03,97.48,880,28/09/2012,5 yrs.,Jiuquan Satellite Launch Center,Long March 2D
VZLUSat-1,NR (10/17),"Czech Aerospace Research Center (VZLU),Czech Republic",Government,Technology Development,LEO,497,515,1.31E-03,97.45,94.7,3,23/06/2017,null,Satish Dhawan Space Centre,PSLV
"Wideband Global Satcom 1 (WGS-1, USA 195)",USA,"Military Satellite Communications - US Air Force,USA",Military,Communications,GEO,"35,783","35,790",8.30E-05,0,1436.1,"5,900",11/10/2007,null,Cape Canaveral,Atlas 5
"Wideband Global Satcom 2 (WGS-2, USA 204)",USA,"Military Satellite Communications - US Air Force,USA",Military,Communications,GEO,"35,786","35,787",1.19E-05,0.03,1436.12,"5,987",4/4/2009,null,Cape Canaveral,Atlas 5
"Wideband Global Satcom 3 (WGS-3, USA 211)",USA,"Military Satellite Communications - US Air Force,USA",Military,Communications,GEO,"35,785","35,786",1.19E-05,0,1436.1,"5,990",6/12/2009,null,Cape Canaveral,Delta 4
