NameofSatellite,Country/Org of UN Registry,Owner,Users,Purpose,ClassOfOrbit,Perigee (km),Apogee (km),Eccentricity,Inclination,Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime,Launch Site,Launch Vehicle
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",USA,"National Aeronautics and Space Administration (NASA) - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,USA/Japan/Brazil",Government,Earth Observation,LEO,701,704,2.12E-04,98.2,98.8,"2,934",4/5/2002,6 yrs.,Vandenberg AFB,Delta
"ERG (Exploration of Energization and Radiation in Geospace, Arase)",NR (1/17),"Japan Aerospace Exploration Agency (JAXA),Japan",Government,Space Science,Elliptical,460,"33,200",7.06E-01,31,580,350,20/12/2016,1 yr.,Uchinoura Space Center,Epsilon
EROS B1 (Earth Resources Observation Satellite),NR,"ImageSat International, NV/Ministry of Defense,Israel",Military/Commercial,Earth Observation,LEO,508,514,4.36E-04,97.4,94.8,350,25/04/2006,10 yrs.,Svobodny Cosmodrome,Start 1
e-st@r-2,Italy,"Polytechnic of Turin,Italy",Civil,Technology Development,LEO,442,687,1.77E-02,98.2,95.9,1,25/04/2016,null,Guiana Space Center,Soyuz 2-1a
Eurasiasat 1 (Turksat 2A),Turkey,"Eurasiasat SAM/Alcatel Space,Turkey/France",Commercial,Communications,GEO,"35,761","35,810",5.81E-04,0.02,1436.06,"3,535",10/1/2001,15 yrs.,Guiana Space Center,Ariane 4
Eutelsat 10A (Eutelsat W-2A),France,"European Telecommunications Satellite Consortium (EUTELSAT),Multinational",Commercial,Communications,GEO,"35,781","35,822",4.86E-04,0.03,1436.09,"5,900",3/4/2009,15 yrs.,Baikonur Cosmodrome,Proton M
Eutelsat 113 West-A (Satmex 6),Mexico,"Eutelsat Americas,Multinational",Commercial,Communications,GEO,"35,776","35,796",2.37E-04,0.03,1436.1,"5,456",27/05/2006,15 yrs.,Guiana Space Center,Ariane 5 ECA
Eutelsat 115 West-B,NR,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,789","35,789",0.00E+00,0,1436,null,2/3/2015,15 yrs.,Cape Canaveral,Falcon 9
"Eutelsat 117 West A (Eutelsat 8 West C, Satmex 8)",Mexico,"Eutelsat Americas,Multinational",Commercial,Communications,GEO,"35,779","35,795",1.90E-04,0.02,1436.1,"5,474",26/03/2013,15 yrs.,Baikonur Cosmodrome,Proton M
Eutelsat 117 West B (Satmex 9),Mexico,"Eutelsat Americas,Multinational",Commercial,Communications,GEO,"35,779","35,795",1.90E-04,0.02,1436.1,"5,500",15/06/2016,15 yrs.,Cape Canaveral,Falcon 9
Eutelsat 12 West-A (Atlantic Bird 1) ,France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,768","35,805",4.39E-04,0.11,1436.1,"2,700",28/08/2002,15 yrs.,Guiana Space Center,Ariane 5G
Eutelsat 16A (Eutelsat W3C),France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,779","35,795",1.90E-04,0.2,1436.12,"5,400",7/10/2011,null,Xichang Satellite Launch Center,Long March 3B
"Eutelsat 16C (SESAT-1, Siberia-Europe Satellite)",France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,754","35,817",7.47E-04,0.07,1436.06,"2,500",17/04/2000,null,Baikonur Cosmodrome,Proton K
"Eutelsat 172A (GE-23, AMC-23, Worldsat 3, Americom 23)",USA,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,772","35,799",3.20E-04,0.01,1436.1,"5,000",29/12/2005,16 yrs.,Baikonur Cosmodrome,Proton M
Eutelsat 172B,NR (10/17),"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"22,948","42,807",2.53E-01,1.09,1437,"3,600",1/6/2017,15 yrs.,Guiana Space Center,Ariane 5
